Row ID;Order ID;Order Date;Order Priority;Order Quantity;Sales;Discount;Ship Mode;Profit;Unit Price;Shipping Cost;Customer Name;Province;Region;Customer Segment;Product Category;Product Sub-Category;Product Name;Product Container;Product Base Margin;Ship Date
413;2791;09/10/2009;High;47;191,67;0;Regular Air;-236,27;3,89;7,01;Eugene Barchas;Nunavut;Nunavut;Corporate;Office Supplies;Binders and Binder Accessories;Avery Binder Labels;Small Box;0,37;09/10/2009
440;2976;09/12/2010;Not Specified;30;14223,82;0,09;Delivery Truck;3424,22;500,98;26;Edward Hooks;Nunavut;Nunavut;Consumer;Furniture;Chairs & Chairmats;Global Troy? Executive Leather Low-Back Tilter;Jumbo Drum;0,6;11/12/2010
471;3232;08/10/2012;Critical;5;42,66;0,06;Regular Air;-11,83;7,84;4,71;Brad Eason;Nunavut;Nunavut;Small Business;Office Supplies;Binders and Binder Accessories;XtraLife© ClearVue? Slant-D© Ring Binders by Cardinal;Small Box;0,35;10/10/2012
513;3524;02/05/2012;High;21;427,32;0;Regular Air;52,35;18,97;9,03;Nicole Hansen;Nunavut;Nunavut;Small Business;Office Supplies;Paper;Computer Printout Paper with Letter-Trim Perforations;Small Box;0,37;03/05/2012
577;3908;08/03/2010;Medium;8;820,284;0;Regular Air;-180,20;115,99;2,5;Dorothy Wardle;Nunavut;Nunavut;Corporate;Technology;Telephones and Communication;6160;Small Box;0,57;08/03/2010
606;4132;28/05/2011;Not Specified;5;14,76;0,01;Regular Air;1,32;2,88;0,5;Aaron Bergman;Nunavut;Nunavut;Corporate;Office Supplies;Labels;Avery 49;Small Box;0,36;30/05/2011
656;4612;19/09/2010;Medium;9;89,55;0,06;Regular Air;-375,64;4,48;49;Jim Radford;Nunavut;Nunavut;Corporate;Office Supplies;Appliances;Hoover Portapower? Portable Vacuum;Large Box;0,6;21/09/2010
669;4676;31/08/2011;High;11;1210,0515;0,04;Regular Air;-104,25;125,99;7,69;Annie Cyprus;Nunavut;Nunavut;Home Office;Technology;Telephones and Communication;Timeport L7089;Small Box;0,58;01/09/2011
734;5284;08/07/2011;Not Specified;7;59,38;0,1;Regular Air;-3,05;8,69;2,99;Annie Cyprus;Nunavut;Nunavut;Home Office;Office Supplies;Binders and Binder Accessories;Cardinal Slant-D© Ring Binder, Heavy Gauge Vinyl;Small Box;0,39;10/07/2011
735;5316;30/01/2009;Critical;42;1285,37;0,1;Regular Air;514,07;31,78;1,99;Clay Rozendal;Nunavut;Nunavut;Corporate;Technology;Computer Peripherals;Memorex 4.7GB DVD-RAM, 3/Pack;Small Pack;0,42;01/02/2009
755;5409;08/01/2012;Low;11;48,91;0,01;Regular Air;-7,04;3,98;2,97;Don Jones;Nunavut;Nunavut;Corporate;Office Supplies;Paper;Unpadded Memo Slips;Wrap Bag;0,35;13/01/2012
769;5506;07/11/2010;Critical;22;129,62;0,05;Regular Air;4,41;5,88;3,04;Beth Thompson;Nunavut;Nunavut;Corporate;Office Supplies;Paper;"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages";Wrap Bag;0,36;08/11/2010
782;5569;29/04/2010;Not Specified;12;118,97;0,09;Regular Air;-0,06;9,65;6,22;Frank Price;Nunavut;Nunavut;Corporate;Furniture;Office Furnishings;Eldon Expressions? Desk Accessory, Wood Pencil Holder, Oak;Small Box;0,55;01/05/2010
786;5607;31/12/2011;Not Specified;8;61,8715;0;Regular Air;-50,33;7,99;5,03;Michelle Lonsdale;Nunavut;Nunavut;Home Office;Technology;Telephones and Communication;Bell Sonecor JB700 Caller ID;Medium Box;0,6;03/01/2012
817;5894;12/08/2009;High;7;384,33;0,1;Regular Air;87,68;58,1;1,49;Ann Chong;Nunavut;Nunavut;Corporate;Office Supplies;Binders and Binder Accessories;Avery Arch Ring Binders;Small Box;0,38;13/08/2009
821;5925;12/11/2011;Low;44;3922,42;0,08;Regular Air;-354,90;92,23;39,61;Joy Bell;Nunavut;Nunavut;Home Office;Furniture;Office Furnishings;Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting;Medium Box;0,67;19/11/2011
839;6016;20/01/2012;High;19;208,28;0,07;Regular Air;3,63;11,48;5,43;Skye Norling;Nunavut;Nunavut;Home Office;Office Supplies;Paper;Personal Creations? Ink Jet Cards and Labels;Small Box;0,36;20/01/2012
853;6116;20/03/2009;Medium;6;9620,82;0,04;Regular Air;-1759,58;1637,53;24,49;Barry Weirich;Nunavut;Nunavut;Corporate;Office Supplies;Scissors, Rulers and Trimmers;High Speed Automatic Electric Letter Opener;Medium Box;0,81;22/03/2009
863;6182;21/07/2012;Low;40;255,48;0,04;Regular Air;-116,79;6,48;6,65;Grant Carroll;Nunavut;Nunavut;Corporate;Office Supplies;Paper;Xerox 1966;Small Box;0,36;28/07/2012
911;6535;12/06/2012;Critical;11;312,36;0,07;Express Air;-19,33;28,15;8,99;Adrian Hane;Nunavut;Nunavut;Corporate;Office Supplies;Pens & Art Supplies;Boston Electric Pencil Sharpener, Model 1818, Charcoal Black;Small Pack;0,57;15/06/2012
950;6884;15/01/2009;Low;41;217;0,01;Regular Air;-61,21;4,98;4,75;Skye Norling;Nunavut;Nunavut;Home Office;Office Supplies;Paper;Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright);Small Box;0,36;20/01/2009
956;6916;04/06/2010;Low;40;436,17;0,08;Express Air;-141,27;10,9;7,46;Andrew Gjertsen;Nunavut;Nunavut;Consumer;Office Supplies;Storage & Organization;Crate-A-Files?;Small Box;0,59;08/06/2010
963;6980;18/02/2010;Not Specified;18;136,29;0,05;Regular Air;-77,28;7,3;7,72;Ralph Knight;Nunavut;Nunavut;Consumer;Office Supplies;Binders and Binder Accessories;Angle-D Binders with Locking Rings, Label Holders;Small Box;0,38;19/02/2010
964;6982;16/11/2011;Not Specified;32;1311,25;0;Express Air;407,44;39,48;1,99;Dorothy Wardle;Nunavut;Nunavut;Corporate;Technology;Computer Peripherals;80 Minute CD-R Spindle, 100/Pack - Staples;Small Pack;0,54;18/11/2011
988;7110;07/08/2011;Low;22;6396,2;0,02;Regular Air;1902,24;276,2;24,49;Grant Carroll;Nunavut;Nunavut;Corporate;Furniture;Chairs & Chairmats;SAFCO Arco Folding Chair;Large Box;;11/08/2011
1017;7430;08/06/2010;Medium;50;751,77;0,05;Regular Air;353,20;15,67;1,39;Barry Weirich;Nunavut;Nunavut;Corporate;Office Supplies;Envelopes;#10 White Business Envelopes,4 1/8 x 9 1/2;Small Box;0,38;09/06/2010
1073;7906;17/10/2009;Medium;37;1003,06;0,03;Regular Air;271,78;25,98;5,37;Beth Paige;Nunavut;Nunavut;Consumer;Office Supplies;Appliances;3M Office Air Cleaner;Medium Box;0,5;17/10/2009
1154;8391;28/08/2011;High;4;1266,72;0,04;Delivery Truck;-268,36;300,98;64,73;Sylvia Foulston;Nunavut;Nunavut;Corporate;Furniture;Chairs & Chairmats;Global Leather and Oak Executive Chair, Black;Jumbo Drum;0,56;29/08/2011
1156;8419;29/09/2011;Critical;19;368,04;0,07;Express Air;70,39;19,98;5,97;Nicole Hansen;Nunavut;Nunavut;Small Business;Office Supplies;Paper;Xerox 1936;Small Box;0,38;01/10/2011
1205;8833;04/05/2012;Low;40;3338,98;0;Regular Air;-846,73;80,98;35;Nicole Hansen;Nunavut;Nunavut;Small Business;Office Supplies;Storage & Organization;Carina Double Wide Media Storage Towers in Natural & Black;Large Box;0,81;08/05/2012
1226;8995;17/05/2011;High;5;24,16;0,08;Express Air;8,05;1,88;1,49;Beth Paige;Nunavut;Nunavut;Consumer;Office Supplies;Binders and Binder Accessories;Staples© General Use 3-Ring Binders;Small Box;0,37;18/05/2011
1258;9126;17/11/2009;Medium;47;2799,7;0,04;Regular Air;884,08;62,05;3,99;Sylvia Foulston;Northwest Territories;Northwest Territories;Corporate;Office Supplies;Appliances;Acco Smartsocket? Table Surge Protector, 6 Color-Coded Adapter Outlets;Small Box;0,55;18/11/2009
1259;9127;10/10/2011;Not Specified;7;2039,56;0,04;Express Air;-329,49;279,48;35;Bryan Davis;Northwest Territories;Northwest Territories;Corporate;Office Supplies;Storage & Organization;Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units;Large Box;0,8;12/10/2011
1299;9509;07/10/2012;Not Specified;36;12175,82;0,02;Delivery Truck;2825,15;320,98;58,95;Joy Bell;Northwest Territories;Northwest Territories;Home Office;Furniture;Chairs & Chairmats;Hon 4070 Series Pagoda? Round Back Stacking Chairs;Jumbo Drum;0,57;08/10/2012
1337;9763;13/08/2011;Medium;44;176,26;0,07;Regular Air;75,13;4,13;0,5;Alan Barnes;Northwest Territories;Northwest Territories;Corporate;Office Supplies;Labels;Avery 506;Small Box;0,39;16/08/2011
1370;9927;16/08/2011;High;32;4655,07;0;Delivery Truck;-270,63;140,98;53,48;Grant Carroll;Northwest Territories;Northwest Territories;Corporate;Furniture;Bookcases;Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order;Jumbo Box;0,65;17/08/2011
1380;10022;04/03/2009;Low;1;12,18;0,06;Regular Air;-3,88;10,14;2,27;Delfina Latchford;Northwest Territories;Northwest Territories;Small Business;Office Supplies;Paper;"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack";Wrap Bag;0,36;04/03/2009
1445;10437;18/08/2009;Critical;50;820,52;0,01;Regular Air;-191,22;15,99;13,18;Don Jones;Northwest Territories;Northwest Territories;Corporate;Office Supplies;Binders and Binder Accessories;"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""";Small Box;0,37;20/08/2009
1457;10499;16/11/2010;Not Specified;29;6250,936;0,01;Delivery Truck;31,21;262,11;62,74;Doug Bickford;Northwest Territories;Northwest Territories;Corporate;Furniture;Tables;Bevis Boat-Shaped Conference Table;Jumbo Box;0,75;17/11/2010
1462;10535;27/05/2011;Low;25;854,88;0,09;Regular Air;-44,14;33,98;19,99;Doug Bickford;Northwest Territories;Northwest Territories;Corporate;Furniture;Office Furnishings;"Linden© 12"" Wall Clock With Oak Frame";Small Box;0,55;29/05/2011
1495;10789;23/08/2010;Not Specified;15;308,54;0;Express Air;76,42;19,84;4,1;Jamie Kunitz;Northwest Territories;Northwest Territories;Corporate;Office Supplies;Pens & Art Supplies;Prismacolor Color Pencil Set;Wrap Bag;0,44;24/08/2010
1496;10791;19/08/2011;Not Specified;20;400,57;0,05;Regular Air;93,36;19,98;5,77;Anthony Johnson;Northwest Territories;Northwest Territories;Small Business;Office Supplies;Paper;Xerox Blank Computer Paper;Small Box;0,38;21/08/2011
1513;10945;03/01/2012;Medium;14;1170,025;0,04;Regular Air;4,22;95,99;8,99;Ralph Knight;Northwest Territories;Northwest Territories;Consumer;Technology;Telephones and Communication;600 Series Flip;Small Box;0,57;05/01/2012
1544;11137;29/11/2012;High;48;5188,86;0,1;Regular Air;395,12;111,03;8,64;Allen Rosenblatt;Northwest Territories;Northwest Territories;Small Business;Office Supplies;Storage & Organization;Fellowes Recycled Storage Drawers;Small Box;0,78;30/11/2012
1551;11202;17/03/2012;Medium;8;339,81;0,05;Regular Air;79,59;43,41;2,99;Barry Weirich;Northwest Territories;Northwest Territories;Corporate;Office Supplies;Binders and Binder Accessories;Satellite Sectional Post Binders;Small Box;0,39;18/03/2012
1589;11456;12/04/2010;Low;15;1519,9;0,09;Regular Air;399,37;105,34;24,49;Doug Bickford;Northwest Territories;Northwest Territories;Corporate;Furniture;Office Furnishings;Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting;Large Box;0,61;19/04/2010
1590;11460;24/08/2010;High;30;102,24;0,09;Regular Air;37,79;3,69;0,5;Carl Jackson;Northwest Territories;Northwest Territories;Home Office;Office Supplies;Labels;Avery 487;Small Box;0,38;26/08/2010
1594;11495;04/07/2011;High;6;965,69;0;Delivery Truck;-144,20;146,34;43,75;Brendan Dodson;Northwest Territories;Northwest Territories;Corporate;Furniture;Tables;Bevis Round Conference Table Top & Single Column Base;Jumbo Box;0,65;05/07/2011
1654;11911;10/11/2010;Critical;25;397,84;0;Regular Air;-14,75;15,22;9,73;Edward Hooks;Northwest Territories;Northwest Territories;Consumer;Office Supplies;Binders and Binder Accessories;"GBC Twin Loop? Wire Binding Elements, 9/16"" Spine, Black";Small Box;0,36;12/11/2010
1655;11941;24/06/2010;Critical;4;73,07;0,08;Regular Air;-41,01;15,7;11,25;Jamie Kunitz;Northwest Territories;Northwest Territories;Corporate;Office Supplies;Storage & Organization;Hanging Personal Folder File;Small Box;0,6;25/06/2010
1675;12096;19/09/2012;Medium;46;8009,5925;0,02;Regular Air;2332,40;200,99;8,08;Michelle Lonsdale;Northwest Territories;Northwest Territories;Home Office;Technology;Telephones and Communication;5125;Small Box;0,59;19/09/2012
1710;12289;24/12/2011;Low;25;3019,41;0,04;Regular Air;1269,05;120,97;7,11;Brendan Dodson;Northwest Territories;Northwest Territories;Corporate;Technology;Office Machines;Canon BP1200DH 12-Digit Bubble Jet Printing Calculator;Medium Box;0,36;28/12/2011
1718;12352;23/03/2012;Medium;5;36,86;0,07;Regular Air;-32,82;5,81;8,49;Hunter Glantz;Northwest Territories;Northwest Territories;Corporate;Office Supplies;Binders and Binder Accessories;Fellowes Black Plastic Comb Bindings;Small Box;0,39;24/03/2012
1727;12419;15/10/2011;Critical;12;22079,47;0,06;Regular Air;5322,14;1938,02;13,99;Sylvia Foulston;Northwest Territories;Northwest Territories;Corporate;Technology;Office Machines;Polycom ViewStation? Adapter H323 Videoconferencing Unit;Medium Box;0,38;17/10/2011
1745;12485;07/08/2010;Critical;24;5407,31;0,04;Delivery Truck;1068,48;226,67;28,16;Eugene Barchas;Northwest Territories;Northwest Territories;Home Office;Furniture;Chairs & Chairmats;Hon GuestStacker Chair;Jumbo Drum;0,59;08/08/2010
1751;12544;03/03/2009;Low;34;74,3;0,08;Regular Air;-129,01;2,08;5,33;Jim Radford;Northwest Territories;Northwest Territories;Corporate;Furniture;Office Furnishings;Eldon© Wave Desk Accessories;Small Box;0,43;10/03/2009
1770;12704;09/02/2010;Low;44;21506,77;0,06;Regular Air;1260,51;499,99;24,49;Carlos Soltero;Northwest Territories;Northwest Territories;Small Business;Technology;Copiers and Fax;Sharp AL-1530CS Digital Copier;Large Box;0,36;09/02/2010
1781;12771;17/01/2009;Critical;40;1143,49;0,08;Regular Air;-193,44;30,53;19,99;Carlos Soltero;Northwest Territories;Northwest Territories;Small Business;Office Supplies;Labels;Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White;Small Box;0,39;17/01/2009
1806;12929;30/08/2010;Critical;19;5297,47;0,02;Delivery Truck;-158,93;270,98;50;Jim Radford;Northwest Territories;Northwest Territories;Corporate;Furniture;Chairs & Chairmats;Global Enterprise Series Seating High-Back Swivel/Tilt Chairs;Jumbo Drum;0,77;31/08/2010
1842;13280;11/09/2009;High;40;460,68;0,01;Regular Air;-116,76;10,9;7,46;Grant Carroll;Northwest Territories;Northwest Territories;Small Business;Office Supplies;Storage & Organization;Crate-A-Files?;Small Box;0,59;12/09/2009
1848;13313;16/07/2009;Not Specified;47;1020,61;0,04;Regular Air;-209,61;21,66;13,99;Skye Norling;Northwest Territories;Northwest Territories;Home Office;Office Supplies;Appliances;Holmes 99% HEPA Air Purifier;Medium Box;0,52;17/07/2009
1855;13346;15/11/2012;Low;44;268,34;0,09;Regular Air;-240,83;6,48;8,88;Doug Bickford;Northwest Territories;Northwest Territories;Corporate;Office Supplies;Paper;Xerox 224;Small Box;0,37;20/11/2012
1913;13702;10/09/2011;Low;6;209;0,08;Regular Air;12,32;35,44;7,5;Grant Carroll;Northwest Territories;Northwest Territories;Small Business;Office Supplies;Paper;Xerox 1906;Small Box;0,38;14/09/2011
1928;13795;10/04/2011;Not Specified;30;501,32;0,04;Regular Air;-119,08;15,99;13,18;Muhammed MacIntyre;Northwest Territories;Northwest Territories;Small Business;Office Supplies;Binders and Binder Accessories;"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""";Small Box;0,37;13/04/2011
1978;14116;09/10/2011;High;1;40,1;0,09;Regular Air;-16,07;30,98;11,63;Doug Bickford;Northwest Territories;Northwest Territories;Small Business;Office Supplies;Binders and Binder Accessories;GBC Linen Binding Covers;Small Box;0,37;11/10/2011
2013;14372;23/10/2012;Critical;34;5350,61;0,09;Delivery Truck;-1059,20;170,98;60,49;Beth Thompson;Northwest Territories;Northwest Territories;Corporate;Furniture;Bookcases;Sauder Facets Collection Library, Sky Alder Finish;Jumbo Box;0,69;25/10/2012
2058;14726;08/01/2012;Low;15;310,87;0,07;Regular Air;-21,48;20,95;4;Ralph Knight;Northwest Territories;Northwest Territories;Consumer;Technology;Computer Peripherals;Fellowes Basic 104-Key Keyboard, Platinum;Small Box;0,6;08/01/2012
2070;14819;25/01/2010;Not Specified;48;9062,73;0,09;Regular Air;3122,78;207,48;0,99;Carl Jackson;Northwest Territories;Northwest Territories;Home Office;Office Supplies;Appliances;Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection;Small Box;0,55;27/01/2010
2114;15106;27/01/2011;Not Specified;42;283,58;0,03;Regular Air;-14,23;6,64;4,95;Dorothy Badders;Northwest Territories;Northwest Territories;Home Office;Furniture;Office Furnishings;G.E. Longer-Life Indoor Recessed Floodlight Bulbs;Small Pack;0,37;29/01/2011
2117;15108;27/08/2009;High;50;2066,16;0,02;Regular Air;372,36;40,99;17,48;Delfina Latchford;Northwest Territories;Northwest Territories;Small Business;Office Supplies;Paper;Xerox 1893;Small Box;0,36;29/08/2009
2129;15205;17/03/2011;Critical;18;4605,36;0,02;Delivery Truck;678,26;243,98;43,32;Julia West;Northwest Territories;Northwest Territories;Corporate;Furniture;Chairs & Chairmats;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;Jumbo Drum;0,55;19/03/2011
2161;15591;06/06/2012;Critical;31;426,34;0;Regular Air;73,53;12,58;5,16;Brad Eason;Northwest Territories;Northwest Territories;Small Business;Furniture;Office Furnishings;DAX Copper Panel Document Frame, 5 x 7 Size;Small Box;0,43;08/06/2012
2206;15907;11/04/2011;High;36;1837,44;0,01;Delivery Truck;-1414,41;48,58;54,11;Thomas Seio;Northwest Territories;Northwest Territories;Home Office;Furniture;Bookcases;O'Sullivan 2-Shelf Heavy-Duty Bookcases;Jumbo Box;0,69;13/04/2011
2209;15937;06/11/2012;Low;32;311,44;0,04;Regular Air;74,07;9,78;1,99;Monica Federle;Northwest Territories;Northwest Territories;Corporate;Technology;Computer Peripherals;Memorex Slim 80 Minute CD-R, 10/Pack;Small Pack;0,43;10/11/2012
2221;16039;16/05/2012;High;3;121,12;0,1;Regular Air;-118,82;43,98;1,99;Michelle Lonsdale;Northwest Territories;Northwest Territories;Home Office;Technology;Computer Peripherals;Memorex 80 Minute CD-R Spindle, 100/Pack;Small Pack;0,44;17/05/2012
2246;16193;09/04/2012;Not Specified;8;300,2;0;Regular Air;6,41;34,76;8,22;Frank Price;Northwest Territories;Northwest Territories;Corporate;Office Supplies;Storage & Organization;Multi-Use Personal File Cart and Caster Set, Three Stacking Bins;Small Box;0,57;11/04/2012
2281;16423;05/08/2012;Medium;19;128,21;0,05;Regular Air;-55,13;6,48;6,57;Bryan Davis;Northwest Territories;Northwest Territories;Corporate;Office Supplies;Paper;Xerox 20;Small Box;0,37;07/08/2012
2283;16451;22/07/2009;Not Specified;9;252,79;0,09;Regular Air;58,23;30,56;2,99;Don Jones;Northwest Territories;Northwest Territories;Corporate;Office Supplies;Binders and Binder Accessories;Surelock? Post Binders;Small Box;0,35;23/07/2009
2294;16545;09/05/2010;Not Specified;10;50,97;0,09;Regular Air;4,45;5,16;0,73;Carlos Soltero;Northwest Territories;Northwest Territories;Small Business;Office Supplies;Pens & Art Supplies;Colorific© Watercolor Pencils;Wrap Bag;0,56;11/05/2010
2296;16547;18/02/2009;Not Specified;30;10554,63;0,09;Delivery Truck;1240,25;355,98;58,92;Nicole Hansen;Northwest Territories;Northwest Territories;Corporate;Furniture;Chairs & Chairmats;Hon 4700 Series Mobuis? Mid-Back Task Chairs with Adjustable Arms;Jumbo Drum;0,64;20/02/2009
2316;16706;27/06/2012;High;47;1943,72;0,03;Regular Air;-1003,58;41,47;34,2;Beth Thompson;Northwest Territories;Northwest Territories;Corporate;Furniture;Office Furnishings;Eldon Econocleat© Chair Mats for Low Pile Carpets;Wrap Bag;0,73;28/06/2012
2323;16741;30/09/2010;Medium;6;157,97;0,01;Regular Air;-42,38;22,84;16,87;Nicole Hansen;Northwest Territories;Northwest Territories;Small Business;Office Supplies;Paper;Xerox 1982;Small Box;0,39;01/10/2010
2346;16932;15/04/2010;Critical;25;144,84;0,09;Regular Air;-120,99;5,78;8,09;Carlos Soltero;Northwest Territories;Northwest Territories;Consumer;Office Supplies;Paper;Xerox 1924;Small Box;0,36;16/04/2010
2383;17283;14/09/2011;Not Specified;4;5472,12;0,06;Delivery Truck;-2816,34;1360,14;14,7;Dorothy Badders;Northwest Territories;Northwest Territories;Home Office;Technology;Office Machines;Okidata ML395C Color Dot Matrix Printer;Jumbo Drum;0,59;15/09/2011
2384;17286;21/09/2010;High;7;1810,67;0,09;Delivery Truck;-541,87;270,98;50;Muhammed MacIntyre;Northwest Territories;Northwest Territories;Small Business;Furniture;Chairs & Chairmats;Global Enterprise Series Seating High-Back Swivel/Tilt Chairs;Jumbo Drum;0,77;22/09/2010
